Number,Site,Assigned,Priority,Date,Completed,PIC2,Category
1,450,Tim,,9/1/2022,,"<a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3723.jpg?raw=true"" target=""_blank"">Image 1</a> ,  <a href=""https://github.com/saferdevelopment/450/blob/main/090122/IMG_3723.jpg?raw=true"" target=""_blank"" >Image 2</a>  ",Maintenance
2,450,Tim,,9/1/2022,,"CONCAT('<a href=https://www.google.com>Google</a>',' ','<a href=https://www.yahoo.com>Yahoo</a>')",Maintenance
3,450,Sasha,,9/1/2022,,"'<a href='https://www.google.com' target='_blank'>Image1</a>',' ','<a href='https://www.yahoo.com' target='_blank'>Image2</a>')",Maintenance
4,450,,,9/1/2022,,,Budgetary
5,450,,,9/1/2022,,,Budgetary
6,450,,,9/1/2022,,,Budgetary
7,450,Sasha,,9/1/2022,,,Repairs
8,450,,,9/1/2022,,,Repairs
9,450,,,9/1/2022,,,Budgetary
10,450,,,9/1/2022,,,Budgetary
11,450,,,9/1/2022,,,Budgetary
12,450,,,9/1/2022,,,Maintenance
13,450,Tim,,9/7/2022,,,Maintenance
14,450,,,10/18/2022,X,,Compliance
15,525,,,9/2/2022,,,Maintenance
16,525,,,9/2/2022,,,Budgetary
17,525,,,9/2/2022,X,,Repairs
18,525,,,9/2/2022,X,,Repairs
19,525,,,9/2/2022,,,Maintenance
20,525,,,9/2/2022,,,Repairs
21,525,,,9/2/2022,X,,Budgetary
22,525,,,9/2/2022,,,Maintenance
23,525,,,9/2/2022,X,,Budgetary
24,525,,,9/2/2022,X,,Maintenance
25,650,,,9/2/2022,,,Administrative
26,650,,,9/2/2022,,,Repairs
27,650,,,9/2/2022,,,Repairs
28,650,,5,9/2/2022,,,Repairs
29,650,,,9/2/2022,,,Repairs
30,650,,,9/2/2022,,,Repairs
31,650,,,10/19/2022,,,Maintenance
32,969,,,9/2/2022,,,Repairs
33,969,Tim,,9/2/2022,,,Maintenance
34,969,Tim,,9/2/2022,,,Maintenance
35,969,,,9/2/2022,,,Repairs
36,969,,,9/2/2022,X,,Maintenance
37,969,,,9/2/2022,,,Repairs
38,969,,,9/2/2022,,,Budgetary
39,969,,,9/2/2022,,,Budgetary
40,969,,,9/2/2022,X,,Budgetary
41,969,,,9/2/2022,,,Budgetary
42,969,,,9/2/2022,X,,Maintenance
43,969,,,9/2/2022,,,Maintenance
44,969,,,9/2/2022,,,Administrative
45,969,,,9/2/2022,,,Budgetary
46,969,,,9/2/2022,X,,Administrative
47,969,,,9/2/2022,,,Repairs
48,969,,,10/19/2022,,,Repairs
49,969,,,10/19/2022,,,Administrative
